ID_RA;ANO;COD_NATUREZA;MES;QUANTIDADE
30;2020;13;11;6
30;2020;13;12;0
30;2020;19;1;1
30;2020;19;2;1
30;2020;19;3;1
30;2020;19;4;2
30;2020;19;5;0
30;2020;19;6;2
30;2020;19;7;0
30;2020;19;8;0
30;2020;19;9;2
30;2020;19;10;1
30;2020;19;11;1
30;2020;19;12;1
30;2020;11;1;19
30;2020;11;2;20
30;2020;11;3;14
30;2020;11;4;16
30;2020;11;5;17
30;2020;11;6;36
30;2020;11;7;20
30;2020;11;8;17
30;2020;11;9;24
30;2020;11;10;17
30;2020;11;11;23
30;2020;11;12;16
30;2020;32;1;33
30;2020;32;2;38
30;2020;32;3;25
30;2020;32;4;23
30;2020;32;5;37
30;2020;32;6;34
30;2020;32;7;27
30;2020;32;8;40
30;2020;32;9;30
30;2020;32;10;42
30;2020;32;11;42
30;2020;32;12;42
30;2021;1;1;7
30;2021;1;2;3
30;2021;1;3;4
30;2021;1;4;1
30;2021;1;5;1
30;2021;1;6;2
30;2021;1;7;1
30;2021;1;8;4
30;2021;1;9;5
30;2021;1;10;4
30;2021;1;11;1
30;2021;1;12;2
30;2021;2;1;21
30;2021;2;2;23
30;2021;2;3;10
30;2021;2;4;35
30;2021;2;5;34
30;2021;2;6;33
30;2021;2;7;33
30;2021;2;8;46
30;2021;2;9;50
30;2021;2;10;34
30;2021;2;11;32
30;2021;2;12;40
30;2021;23;1;76
30;2021;23;2;62
30;2021;23;3;58
30;2021;23;4;73
30;2021;23;5;72
30;2021;23;6;75
30;2021;23;7;83
30;2021;23;8;75
30;2021;23;9;97
30;2021;23;10;108
30;2021;23;11;89
30;2021;23;12;96
30;2021;7;1;1
30;2021;7;2;3
30;2021;7;3;0
30;2021;7;4;0
30;2021;7;5;0
30;2021;7;6;1
30;2021;7;7;3
30;2021;7;8;0
30;2021;7;9;1
30;2021;7;10;4
30;2021;7;11;0
30;2021;7;12;1
30;2021;27;1;1
30;2021;27;2;0
30;2021;27;3;0
30;2021;27;4;0
30;2021;27;5;0
30;2021;27;6;0
30;2021;27;7;0
30;2021;27;8;0
30;2021;27;9;0
30;2021;27;10;1
30;2021;27;11;0
30;2021;27;12;0
30;2021;28;1;0
30;2021;28;2;0
30;2021;28;3;0
30;2021;28;4;0
30;2021;28;5;0
30;2021;28;6;0
30;2021;28;7;0
30;2021;28;8;0
30;2021;28;9;0
30;2021;28;10;1
30;2021;28;11;0
30;2021;28;12;0
30;2021;29;1;25
30;2021;29;2;32
30;2021;29;3;18
30;2021;29;4;22
30;2021;29;5;18
30;2021;29;6;21
30;2021;29;7;23
30;2021;29;8;26
30;2021;29;9;23
30;2021;29;10;35
30;2021;29;11;30
30;2021;29;12;24
30;2021;30;1;5
30;2021;30;2;7
30;2021;30;3;5
30;2021;30;4;5
30;2021;30;5;5
30;2021;30;6;4
30;2021;30;7;10
30;2021;30;8;2
30;2021;30;9;2
30;2021;30;10;10
30;2021;30;11;3
30;2021;30;12;8
30;2021;3;1;146
30;2021;3;2;150
30;2021;3;3;171
30;2021;3;4;184
30;2021;3;5;185
30;2021;3;6;152
30;2021;3;7;164
30;2021;3;8;136
30;2021;3;9;190
30;2021;3;10;181
30;2021;3;11;147
30;2021;3;12;138
30;2021;8;1;29
30;2021;8;2;27
30;2021;8;3;32
30;2021;8;4;38
30;2021;8;5;23
30;2021;8;6;28
30;2021;8;7;26
30;2021;8;8;34
30;2021;8;9;26
30;2021;8;10;20
30;2021;8;11;27
30;2021;8;12;23
30;2021;4;1;5
30;2021;4;2;1
30;2021;4;3;1
30;2021;4;4;2
30;2021;4;5;6
30;2021;4;6;3
30;2021;4;7;5
30;2021;4;8;3
30;2021;4;9;5
30;2021;4;10;6
30;2021;4;11;9
30;2021;4;12;1
30;2021;31;1;9
30;2021;31;2;11
30;2021;31;3;6
30;2021;31;4;9
30;2021;31;5;11
30;2021;31;6;6
30;2021;31;7;7
30;2021;31;8;12
30;2021;31;9;5
30;2021;31;10;9
30;2021;31;11;8
30;2021;31;12;2
30;2021;6;1;1
30;2021;6;2;3
30;2021;6;3;2
30;2021;6;4;1
30;2021;6;5;2
30;2021;6;6;2
30;2021;6;7;2
30;2021;6;8;3
30;2021;6;9;1
30;2021;6;10;6
30;2021;6;11;4
30;2021;6;12;0
30;2021;13;1;0
30;2021;13;2;3
30;2021;13;3;1
30;2021;13;4;2
30;2021;13;5;3
30;2021;13;6;3
30;2021;13;7;8
30;2021;13;8;1
30;2021;13;9;1
30;2021;13;10;4
30;2021;13;11;0
30;2021;13;12;2
30;2021;19;1;3
30;2021;19;2;1
30;2021;19;3;3
30;2021;19;4;2
30;2021;19;5;1
30;2021;19;6;1
30;2021;19;7;0
30;2021;19;8;0
30;2021;19;9;2
30;2021;19;10;2
30;2021;19;11;0
30;2021;19;12;0
30;2021;11;1;31
30;2021;11;2;25
30;2021;11;3;30
30;2021;11;4;22
30;2021;11;5;31
30;2021;11;6;27
30;2021;11;7;27
30;2021;11;8;36
30;2021;11;9;31
30;2021;11;10;22
30;2021;11;11;17
30;2021;11;12;20
30;2021;32;1;40
30;2021;32;2;40
30;2021;32;3;38
30;2021;32;4;34
30;2021;32;5;33
30;2021;32;6;31
30;2021;32;7;54
30;2021;32;8;44
30;2021;32;9;49
30;2021;32;10;48
30;2021;32;11;50
30;2021;32;12;37
30;2022;1;1;7
30;2022;1;2;3
30;2022;1;3;2
30;2022;1;4;5
30;2022;1;5;5
30;2022;1;6;3
30;2022;1;7;7
30;2022;1;8;7
30;2022;1;9;10
30;2022;1;10;8
30;2022;1;11;6
30;2022;1;12;5
30;2022;2;1;16
30;2022;2;2;30
30;2022;2;3;25
30;2022;2;4;34
30;2022;2;5;25
30;2022;2;6;30
30;2022;2;7;19
30;2022;2;8;23
30;2022;2;9;26
30;2022;2;10;30
30;2022;2;11;38
30;2022;2;12;48
30;2022;23;1;65
30;2022;23;2;78
30;2022;23;3;101
30;2022;23;4;67
30;2022;23;5;78
30;2022;23;6;105
30;2022;23;7;101
30;2022;23;8;97
30;2022;23;9;76
30;2022;23;10;94
30;2022;23;11;76
30;2022;23;12;81
30;2022;7;1;0
30;2022;7;2;1
30;2022;7;3;0
30;2022;7;4;1
30;2022;7;5;2
30;2022;7;6;4
30;2022;7;7;1
30;2022;7;8;3
30;2022;7;9;3
30;2022;7;10;1
30;2022;7;11;1
30;2022;7;12;0
30;2022;27;1;0
30;2022;27;2;0
30;2022;27;3;0
30;2022;27;4;0
30;2022;27;5;0
30;2022;27;6;0
30;2022;27;7;0
30;2022;27;8;0
30;2022;27;9;0
30;2022;27;10;0
30;2022;27;11;0
30;2022;27;12;0
30;2022;28;1;0
30;2022;28;2;0
30;2022;28;3;0
30;2022;28;4;0
30;2022;28;5;0
30;2022;28;6;0
30;2022;28;7;0
30;2022;28;8;0
30;2022;28;9;0
30;2022;28;10;0
30;2022;28;11;0
30;2022;28;12;0
30;2022;29;1;20
30;2022;29;2;21
30;2022;29;3;20
30;2022;29;4;29
30;2022;29;5;25
30;2022;29;6;25
30;2022;29;7;35
30;2022;29;8;28
30;2022;29;9;19
30;2022;29;10;15
